date,country,mportret,mportretx
19891229,AUSTRALIA,0.0424982257,0.0397510183
19900131,AUSTRALIA,0.0294674853,0.0271415256
19900228,AUSTRALIA,-0.064143705,-0.064350035
19900330,AUSTRALIA,-0.017151165,-0.023116268
19900430,AUSTRALIA,-0.064851842,-0.07519809
19900531,AUSTRALIA,0.0699890582,0.0653765423
19900629,AUSTRALIA,-0.002295959,-0.008790375
19900731,AUSTRALIA,0.04844226,0.0463317841
19900831,AUSTRALIA,-0.05029877,-0.050852308
19900928,AUSTRALIA,-0.067017116,-0.06851317
19901031,AUSTRALIA,-0.032885543,-0.042449466
19901130,AUSTRALIA,0.0083115238,-0.001666747
19901228,AUSTRALIA,-0.022172487,-0.029400429
19910131,AUSTRALIA,0.0337469272,0.0335668586
19910228,AUSTRALIA,0.0656859406,0.0651434099
19910328,AUSTRALIA,0.034429099,0.0300586642
19910430,AUSTRALIA,0.0702110201,0.0658924235
19910531,AUSTRALIA,-0.011472165,-0.017289314
19910628,AUSTRALIA,0.0103070009,0.0051967578
19910731,AUSTRALIA,0.0429181885,0.0426905686
19910830,AUSTRALIA,-0.022567761,-0.023068936
19910930,AUSTRALIA,0.0182227943,0.0166185381
19911031,AUSTRALIA,0.0757298066,0.0695144476
19911129,AUSTRALIA,-0.044577748,-0.049154324
19911231,AUSTRALIA,0.0245277909,0.0209347988
19920131,AUSTRALIA,-0.016226791,-0.016552327
19920228,AUSTRALIA,-0.008414306,-0.00947867
19920331,AUSTRALIA,-0.017260361,-0.020147534
19920430,AUSTRALIA,0.0501990247,0.0445370461
19920529,AUSTRALIA,0.0186999325,0.0141874241
19920630,AUSTRALIA,-0.020316952,-0.023746947
19920731,AUSTRALIA,-0.022157913,-0.023117156
19920831,AUSTRALIA,-0.05009345,-0.050415921
19920930,AUSTRALIA,-0.031002074,-0.034562882
19921030,AUSTRALIA,-0.037164225,-0.045638657
19921130,AUSTRALIA,0.0100249196,0.0078690831
19921231,AUSTRALIA,0.0868592876,0.0821552626
19930129,AUSTRALIA,-0.014202832,-0.014611959
19930226,AUSTRALIA,0.0621386877,0.0612990813
19930331,AUSTRALIA,0.0470896228,0.0420599001
19930430,AUSTRALIA,0.0078971916,0.0050663076
19930531,AUSTRALIA,0.0390745629,0.0356240689
19930630,AUSTRALIA,0.0065006281,0.0007147969
19930730,AUSTRALIA,0.0551021747,0.0543651803
19930831,AUSTRALIA,0.0551703701,0.0546469257
19930930,AUSTRALIA,-0.006895069,-0.009626898
19931029,AUSTRALIA,0.0874397149,0.0807621236
19931130,AUSTRALIA,-0.039585539,-0.041108846
19931231,AUSTRALIA,0.0889914168,0.0850227622
19940131,AUSTRALIA,0.062557197,0.0623358758
19940228,AUSTRALIA,-0.058683197,-0.059246716
19940331,AUSTRALIA,-0.048762513,-0.054198155
19940429,AUSTRALIA,0.0039583188,0.0028456176
19940531,AUSTRALIA,0.0188807045,0.0141947663
19940630,AUSTRALIA,-0.03849033,-0.043393746
19940729,AUSTRALIA,0.0358535731,0.034925598
19940831,AUSTRALIA,0.0293653598,0.0281560482
19940930,AUSTRALIA,-0.039004889,-0.043968304
19941031,AUSTRALIA,0.0165614283,0.0111214615
19941130,AUSTRALIA,-0.068999242,-0.072735567
19941230,AUSTRALIA,0.0200829128,0.0149425108
19950131,AUSTRALIA,-0.045098606,-0.045514396
19950228,AUSTRALIA,0.0427676948,0.0413744634
19950331,AUSTRALIA,-0.006356869,-0.013916261
19950428,AUSTRALIA,0.081437095,0.0787531717
19950531,AUSTRALIA,-0.02102862,-0.024441311
19950630,AUSTRALIA,-0.000525823,-0.008030772
19950731,AUSTRALIA,0.0567061076,0.0566678624
19950831,AUSTRALIA,0.0189860736,0.0183284752
19950929,AUSTRALIA,0.010060665,0.0041034896
19951031,AUSTRALIA,-0.017334728,-0.023452247
19951130,AUSTRALIA,0.0468126719,0.0433414272
19951229,AUSTRALIA,0.0292473437,0.0229165162
19960131,AUSTRALIA,0.0441961271,0.0436638026
19960229,AUSTRALIA,-0.000790057,-0.003686867
19960329,AUSTRALIA,-0.029727613,-0.033210095
19960430,AUSTRALIA,0.0456075944,0.041764362
19960531,AUSTRALIA,-0.012540721,-0.016461842
19960628,AUSTRALIA,-0.006888732,-0.012302645
19960731,AUSTRALIA,-0.036670011,-0.036909049
19960830,AUSTRALIA,0.0451353571,0.0417068617
19960930,AUSTRALIA,0.0181758943,0.0140938849
19961031,AUSTRALIA,0.0319264616,0.0250675514
19961129,AUSTRALIA,0.0253591581,0.0239985839
19961231,AUSTRALIA,0.0216370316,0.0165174475
19970131,AUSTRALIA,0.0033493464,0.0030737044
19970228,AUSTRALIA,0.0102561777,0.0061106429
19970327,AUSTRALIA,0.0009447598,-0.002335941
19970430,AUSTRALIA,0.0365903833,0.0333966701
19970530,AUSTRALIA,0.0527207645,0.0500023362
19970630,AUSTRALIA,0.0495839271,0.0438143044
19970731,AUSTRALIA,0.0043368362,0.0040841508
19970829,AUSTRALIA,-0.052552661,-0.055554843
19970930,AUSTRALIA,0.0663893854,0.0611569324
19971031,AUSTRALIA,-0.10615175,-0.110754849
19971128,AUSTRALIA,-0.002886318,-0.006685957
19971231,AUSTRALIA,0.0627272063,0.0590578708
19980130,AUSTRALIA,0.0064659736,0.0062017399
19980227,AUSTRALIA,0.0158355349,0.0120308988
19980331,AUSTRALIA,0.021268456,0.0166295887
19980430,AUSTRALIA,0.0042119929,0.0021093221
19980529,AUSTRALIA,-0.014031644,-0.016164389
19980630,AUSTRALIA,-0.045798964,-0.051834157
19980731,AUSTRALIA,0.0401532822,0.0307946703
19980831,AUSTRALIA,-0.068569462,-0.071276852
19980930,AUSTRALIA,0.0497500431,0.0418299258
19981030,AUSTRALIA,0.0242500475,0.0201044766
19981130,AUSTRALIA,0.0433846894,0.0385497625
19981231,AUSTRALIA,0.0203420097,0.0176484284
19990129,AUSTRALIA,0.0179198354,0.0174444004
19990226,AUSTRALIA,0.0082274868,0.0054467613
19990331,AUSTRALIA,0.0406861492,0.034525021
19990430,AUSTRALIA,0.0486643251,0.0471599334
19990531,AUSTRALIA,-0.061952995,-0.063621635
19990630,AUSTRALIA,0.0146170295,0.0088114274
19990730,AUSTRALIA,0.0060312183,0.0055492321
19990831,AUSTRALIA,-0.007177704,-0.009482777
19990930,AUSTRALIA,-0.008482137,-0.019000374
19991029,AUSTRALIA,0.0045170897,0.0012268488
19991130,AUSTRALIA,0.0588458129,0.0550812369
19991230,AUSTRALIA,0.0121031478,0.0105477405
20000131,AUSTRALIA,-0.03993751,-0.040275456
20000229,AUSTRALIA,-0.02006796,-0.025920496
20000331,AUSTRALIA,0.0147090977,0.0079099139
20000428,AUSTRALIA,0.0073164593,0.006835695
20000531,AUSTRALIA,0.0004375687,-0.0011993
20000630,AUSTRALIA,0.0567471642,0.0507959484
20000731,AUSTRALIA,-0.000265956,-0.000422694
20000831,AUSTRALIA,-0.000395457,-0.002161396
20000929,AUSTRALIA,-0.017827651,-0.026376298
20001031,AUSTRALIA,0.0326279547,0.0286765513
20001130,AUSTRALIA,0.034425524,0.0278284842
